BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BorrID,LoanStatus,GrossApproval,SBAGuaranteed,InterestRate,TermMonths,ApprovalFiscalYear,ApprovalDate,DisbursementDate,Days2Funded,MaturityDate,Status,COFiscalYear,COAmount,PrinBalanceCollected,CODate,DaysRemainingAtCO,MonthsRemainingAtCO,NaicsCode,NaicsDescription,JobsSupported,DeliveryMethod,subpgmdesc,BankName,BankStreet,BankCity,BankState,BankZip
Hayes Environmental Consulting,701 Hummingbird Street,Lynn Haven,FL,32444,541,CHGOFF,25000,21250,8,65,2010,8/4/10,8/9/10,5,12/11/15,1,2012,23403,1597,4/30/12,1320,44,541330,Engineering Services,1,COMM EXPRS,Community Express,Umpqua Bank,"445 SE Main St, First Fl",ROSEBURG,OR,97470
Around the Clock Fitness,1242 SW Pine Island.,Cape coral,FL,33991,8127,PIF,521800,469620,6,110,2010,12/24/09,12/4/09,-20,12/17/18,0,,,,,,,713990,All Other Amusement and Recreation Industries,20,PLP,Guaranty,"Newtek Small Business Finance, Inc.",1981 Marcus Avenue,LAKE SUCCESS,NY,11042
"Integrated Metering Systems, I","11701 South Belcher Road, Sui",Largo,FL,33773,4025,PIF,40800,34680,6,48,2010,7/14/10,7/1/10,-13,6/10/14,0,,,,,,,335311,"Power, Distribution, and Specialty Transformer Manufacturing",23,PLP,Guaranty,Synovus Bank,1148 Broadway,COLUMBUS,GA,31901
Loving Enterprises Inc and 2 P,7885 Boca Ciega Drive,SAINT PETERSBURG,FL,33706,7228,PIF,332000,249000,5.5,300,2010,7/12/10,7/1/10,-11,2/20/35,0,,,,,,,453220,"Gift, Novelty, and Souvenir Stores",21,PLP,Guaranty,"PNC Bank, National Association",222 Delaware Ave,WILMINGTON,DE,19801
Lawrence J. Roberts & Associat,249 Catalonia Avenue.,Coral gables,FL,33134,1508,EXEMPT,225000,112500,5.95,52,2010,3/11/10,3/1/10,-10,6/8/14,0,,,,,,,541110,Offices of Lawyers,3,SBA EXPRES,FA$TRK (Small Loan Express),TotalBank,100 SE 2nd St,MIAMI,FL,33131
KACEY HOME COOKING,2545 NORTH MONROE STREET,TALLAHASSEE,FL,32303,7816,PIF,800000,600000,5.75,300,2010,3/11/10,3/2/10,-9,10/22/34,0,,,,,,,722211,Limited-Service Restaurants,23,OTH 7A,Guaranty,NOA Bank,2385 Pleasant Hill Rd,DULUTH,GA,30096
William F. Bennett MD,1250 S. Tiamiami Trail Ste. 3,Sarasota,FL,34239,12966,PIF,75000,37500,4.75,84,2010,3/11/10,3/5/10,-6,1/27/17,0,,,,,,,621111,Offices of Physicians (except Mental Health Specialists),3,SBA EXPRES,FA$TRK (Small Loan Express),Fifth Third Bank,38 Fountain Sq Plz,CINCINNATI,OH,45263
Sergio A. Balsinde P.A.,13145 Old Cutler Rd.,Miami,FL,33156,13037,PIF,50000,25000,7.75,48,2010,3/11/10,3/5/10,-6,2/12/14,0,,,,,,,541110,Offices of Lawyers,2,SBA EXPRES,FA$TRK (Small Loan Express),Banco Do Brasil Americas,"1221 Brickell Ave, Ste 2200",MIAMI,FL,33131
ATLANTIC INTERNATIONAL DISTRIB,2905 Danese St,JACKSONVILLE,FL,32206,5333,PIF,400000,360000,5.5,84,2010,3/11/10,3/8/10,-3,1/30/17,0,,,,,,,423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,22,PLP,Guaranty,SunTrust Bank,25 Park Place NE,ATLANTA,GA,30303
Wood Fired Pizzeria Corporatio,2235 Seacrest Blvd,DELRAY BEACH,FL,33444,10775,PIF,37600,18800,9,84,2010,3/11/10,3/8/10,-3,1/30/17,0,,,,,,,722211,Limited-Service Restaurants,14,SBA EXPRES,FA$TRK (Small Loan Express),"JPMorgan Chase Bank, National Association",1111 Polaris Pkwy,COLUMBUS,OH,43240
