BorrName,BorrStreet,BorrCity,BorrState,BorrZip,BusinessType,BankName,BankStreet,BankCity,BankState,BankZip,GrossApproval,SBAGuaranteedApproval,ApprovalDate,ApprovalFiscalYear,FirstDisbursementDate,DeliveryMethod,subpgmdesc,InitialInterestRate,TermInMonths,NaicsCode,NaicsDescription,LoanStatus,Status,ChargeOffDate,GrossChargeOffAmount,RevolverStatus,JobsSupported
"JONNY B ENTERPRISES, INC.",1421 BERGSTROM RD,WINNEBAGO,IL,61103,CORPORATION,Wisconsin Bank & Trust,119 Junction Rd,MADISON,WI,53719,259000,194250,12/22/16,2017,1/1/17,PLP,Guaranty,6,84,532490,Other Commercial and Industrial Machinery and Equipment Rental and Lea,EXEMPT,0,,0,0,4
US Cash ATMS Inc.,7722 W 99th Street,HICKORY HILLS,IL,60457,CORPORATION,Wisconsin Bank & Trust,119 Junction Rd,MADISON,WI,53719,150000,127500,7/24/15,2015,11/1/15,SLA,Lender Advantage Initiative,6,120,522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activiti",EXEMPT,0,,0,0,0
Westgate Cups LTD and Westgate,743 Westgate Road,Deerfield,IL,60015,CORPORATION,Wisconsin Bank & Trust,119 Junction Rd,MADISON,WI,53719,840000,630000,10/4/11,2012,10/4/11,PLP,Guaranty,5,120,326199,All Other Plastics Product Manufacturing,PIF,0,,0,0,1
Westgate Cups LTD and Westgate,743 Westgate Road,Deerfield,IL,60015,CORPORATION,Wisconsin Bank & Trust,119 Junction Rd,MADISON,WI,53719,1000000,500000,9/22/11,2011,10/1/11,SBA EXPRES,FA$TRK (Small Loan Express),5,84,326199,All Other Plastics Product Manufacturing,PIF,0,,0,1,1
"SARU FOOD MART, INC.",3328 AVENUE OF THE CITIES,MOLINE,IL,61265,CORPORATION,Wisconsin Bank & Trust,119 Junction Rd,MADISON,WI,53719,659000,593100,2/23/11,2011,,OTH 7A,Guaranty,6,300,447110,Gasoline Stations with Convenience Stores,CANCLD,0,,0,0,3
"Barkau Brothers Holdings, LLC",501 East North Ave,Stockton,IL,61085,CORPORATION,Wisconsin Bank & Trust,119 Junction Rd,MADISON,WI,53719,1300000,1170000,4/30/10,2010,2/1/11,PLP,Guaranty,4.75,240,441110,New Car Dealers,EXEMPT,0,,0,0,35
"Alamode Foods, Inc.",9240 BELMONT AVE Unit C,FRANKLIN PARK,IL,60131,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,200000,100000,3/27/18,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.25,84,311920,Coffee and Tea Manufacturing,COMMIT,0,,0,0,16
143 Tees LLC,2046 RACE AVE,CHICAGO,IL,60612,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,100000,50000,1/19/18,2018,1/31/18,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,448190,Other Clothing Stores,EXEMPT,0,,0,0,5
"R&G Engineering, LLC",2150 S. CANALPORT AVE Ste 4A-,CHICAGO,IL,60608,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,750000,562500,12/28/17,2018,,PLP,Guaranty,6,84,541330,Engineering Services,CANCLD,0,,0,0,23
"Myefski Architects, Inc.",400 MICHIGAN AVE,CHICAGO,IL,60611,CORPORATION,Wintrust Bank,"231 S LaSalle St, Ste 0100S",CHICAGO,IL,60604,275000,137500,11/13/17,2018,,SBA EXPRES,FA$TRK (Small Loan Express),5.75,84,541310,Architectural Services,COMMIT,0,,0,0,7
